edinet_code,year,avg_salary,avg_age,employees_nonconsolidated,source,period_end,doc_id
E02584,2022,6630091,44.6,952.0,tag,2022-03-31,S100OGIC
E02584,2023,6877937,44.4,941.0,tag,2023-03-31,S100R80U
E02584,2024,7315540,44.6,964.0,tag,2024-03-31,S100TSQ6
E02584,2025,6871109,44.2,1052.0,tag,2025-03-31,S100W5XO
E02584,2026,6661745,44.3,1063.0,tag,2026-03-31,S100YI3N
E02588,2017,5552874,45.7,31.0,textblock,2017-03-31,S100AIGO
E02588,2018,5573944,45.3,28.0,textblock,2018-03-31,S100D9FV
E02588,2019,5771248,44.6,26.0,tag,2019-03-31,S100G6ZB
E02588,2020,5489434,44.1,177.0,tag,2020-03-31,S100JAWJ
E02588,2021,5608222,43.5,176.0,tag,2021-03-31,S100LQZE
E02588,2022,5654821,43.4,169.0,tag,2022-03-31,S100OERU
E02588,2023,5695141,44.6,135.0,tag,2023-03-31,S100QZXP
E02588,2024,5618000,45.4,129.0,tag,2024-03-31,S100TO6F
E02588,2025,5642000,46.6,125.0,tag,2025-03-31,S100W4T4
E02588,2026,5754000,46.1,117.0,tag,2026-03-31,S100YDV3
E02597,2017,7220036,41.3,486.0,textblock,2017-03-31,S100AMDU
E02597,2018,6942456,40.9,497.0,textblock,2018-03-31,S100DCBP
E02597,2019,6611774,41.19,529.0,textblock,2019-03-31,S100FWXY
E02597,2020,6141640,41.16,532.0,textblock,2020-03-31,S100J0BU
E02597,2021,6670557,41.1,532.0,textblock,2021-03-31,S100LRQD
E02597,2022,6628078,41.09,536.0,textblock,2022-03-31,S100OH2O
E02597,2023,6680959,41.2,521.0,textblock,2023-03-31,S100R4K2
E02597,2024,7564910,41.7,496.0,textblock,2024-03-31,S100TT2M
E02597,2025,8412805,42.5,457.0,textblock,2025-03-31,S100W3RC
E02597,2026,7508701,43.2,453.0,textblock,2026-03-31,S100YKCN
E02602,2017,7789000,41.5,490.0,textblock,2017-03-31,S100AR0V
E02602,2018,7809000,42.0,475.0,textblock,2018-03-31,S100DIUO
