edinet_code,year,ordinary_income,oi_basis,employees_consolidated,employees_nonconsolidated,source_year,back
E00268,2023,1965272000,consolidated,,,2026,3
E00268,2024,4150641000,consolidated,,,2026,2
E00268,2025,3968053000,consolidated,,,2026,1
E00268,2026,4566023000,consolidated,458,458,2026,0
E00271,2022,1286000000,nonconsolidated,,,2026,4
E00271,2023,1074000000,nonconsolidated,,,2026,3
E00271,2024,1354000000,nonconsolidated,,,2026,2
E00271,2025,2733000000,nonconsolidated,,,2026,1
E00271,2026,4986000000,nonconsolidated,,454,2026,0
E00277,2022,2047161000,consolidated,,,2026,4
E00277,2023,1898253000,consolidated,,,2026,3
E00277,2024,2346984000,consolidated,,,2026,2
E00277,2025,3123865000,consolidated,,,2026,1
E00277,2026,2838044000,consolidated,597,248,2026,0
E00279,2022,1164478000,consolidated,,,2026,4
E00279,2023,1003829000,consolidated,,,2026,3
E00279,2024,317766000,consolidated,,,2026,2
E00279,2025,737189000,consolidated,,,2026,1
E00279,2026,1986804000,consolidated,133,112,2026,0
E00285,2022,11490000000,consolidated,,,2026,4
E00285,2023,11768000000,consolidated,,,2026,3
E00285,2024,11310000000,consolidated,,,2026,2
E00285,2025,10619000000,consolidated,,,2026,1
E00285,2026,17512000000,consolidated,5119,100,2026,0
E00304,2022,2027792000,consolidated,,,2026,4
E00304,2023,2038043000,consolidated,,,2026,3
E00304,2024,2173899000,consolidated,,,2026,2
E00304,2025,4222005000,consolidated,,,2026,1
E00304,2026,5358164000,consolidated,573,439,2026,0
E00313,2022,4139000000,consolidated,,,2026,4
E00313,2023,4613000000,consolidated,,,2026,3
E00313,2024,6324000000,consolidated,,,2026,2
E00313,2025,9307000000,consolidated,,,2026,1
E00313,2026,12126000000,consolidated,989,954,2026,0
E00316,2022,-5132000000,consolidated,,,2026,4
E00316,2023,5020000000,consolidated,,,2026,3
E00316,2024,9736000000,consolidated,,,2026,2
E00316,2025,9701000000,consolidated,,,2026,1
E00316,2026,17552000000,consolidated,2911,2562,2026,0
E00317,2022,25838000000,consolidated,,,2026,4
E00317,2023,19608000000,consolidated,,,2026,3
E00317,2024,18545000000,consolidated,,,2026,2
E00317,2025,34053000000,consolidated,,,2026,1
E00317,2026,33257000000,consolidated,3957,3427,2026,0
E00322,2022,44036000000,consolidated,,,2026,4
E00322,2023,30934000000,consolidated,,,2026,3
E00322,2024,40396000000,consolidated,,,2026,2
E00322,2025,46650000000,consolidated,,,2026,1
E00322,2026,52164000000,consolidated,17765,129,2026,0
E00331,2022,31127000000,consolidated,,,2026,4
E00331,2023,25218000000,consolidated,,,2026,3
E00331,2024,28104000000,consolidated,,,2026,2
E00331,2025,29864000000,consolidated,,,2026,1
E00331,2026,37121000000,consolidated,7345,3376,2026,0
E00334,2022,21460000000,nonconsolidated,,,2026,4
E00334,2023,6972000000,nonconsolidated,,,2026,3
E00334,2024,21949000000,nonconsolidated,,,2026,2
E00334,2025,13303000000,nonconsolidated,,,2026,1
E00334,2026,19936000000,nonconsolidated,15790,1198,2026,0
E00335,2022,14883000000,consolidated,,,2026,4
E00335,2023,10510000000,consolidated,,,2026,3
E00335,2024,12884000000,consolidated,,,2026,2
E00335,2025,10502000000,consolidated,,,2026,1
E00335,2026,11185000000,consolidated,3630,1137,2026,0
E00341,2022,-327000000,consolidated,,,2026,4
E00341,2023,-336000000,consolidated,,,2026,3
E00341,2024,-404000000,consolidated,,,2026,2
E00341,2025,-614000000,consolidated,,,2026,1
E00341,2026,-792000000,consolidated,325,325,2026,0
E00343,2022,173926000,consolidated,,,2026,4
E00343,2023,-167560000,consolidated,,,2026,3
E00343,2024,173791000,consolidated,,,2026,2
E00343,2025,-405237000,consolidated,,,2026,1
E00343,2026,-361064000,consolidated,303,301,2026,0
