rank_adj,rank_raw,rank_delta,sec_code,name,tse33,listed,avg_age,avg_tenure,avg_salary,salary35,factor,employees_nonconsolidated,employees_consolidated,emp_ratio,badge,salary35_fit,industry,source,period_end,doc_id
204,138,-66,8377,株式会社ほくほくフィナンシャルグループ,銀行業,上場,46.2,20.9,9901000.0,8339348,0.8423,251.0,4618.0,0.0544,本社のみ,8724987,金融業・保険業,tag,2026-03-31,S100YBV5
205,218,13,9706,日本空港ビルデング株式会社,不動産業,上場,40.0,13.0,9198584.0,8338231,0.9065,326.0,3018.0,0.108,,8167579,不動産業,tag,2026-03-31,S100YGGN
206,177,-29,4204,積水化学工業株式会社,化学,上場,44.2,15.9,9462708.0,8336131,0.8809,3156.0,26752.0,0.118,,8203115,製造業,tag,2026-03-31,S100YBAY
207,212,5,8066,三谷商事株式会社,卸売業,上場,41.2,16.3,9229000.0,8332859,0.9029,442.0,2102.0,0.2103,,8053346,卸売業・小売業,tag,2026-03-31,S100YJ7S
208,316,108,9022,東海旅客鉄道株式会社,陸運業,上場,37.0,16.3,8605695.0,8329247,0.9679,18518.0,29569.0,0.6263,,8168292,運輸業,tag,2026-03-31,S100YD7H
209,173,-36,4041,日本曹達株式会社,化学,上場,44.6,20.2,9491473.0,8327689,0.8774,1316.0,2407.0,0.5467,,8250023,製造業,tag,2026-03-31,S100YJKO
210,193,-17,2327,日鉄ソリューションズ株式会社,情報・通信業,上場,39.8,12.6,9357000.0,8326602,0.8899,4102.0,10276.0,0.3992,,8338073,情報通信業,tag,2026-03-31,S100YAEV
211,248,37,7460,株式会社ヤギ,卸売業,上場,39.7,14.3,9002299.0,8322624,0.9245,271.0,799.0,0.3392,,8036901,卸売業・小売業,tag,2026-03-31,S100YHKP
212,180,-32,8050,セイコーグループ株式会社,精密機器,上場,44.2,15.8,9446162.0,8321555,0.8809,175.0,11326.0,0.0155,本社のみ,8188772,製造業,tag,2026-03-31,S100YHM2
213,181,-32,,オリックス銀行株式会社,銀行業,非上場,40.7,8.5,9434000.0,8319903,0.8819,926.0,,,,8284437,金融業・保険業,textblock,2026-03-31,S100YNMH
214,220,6,9960,東テク株式会社,卸売業,上場,41.0,11.0,9184178.0,8318303,0.9057,1171.0,2855.0,0.4102,,8033166,卸売業・小売業,tag,2026-03-31,S100YGTS
215,166,-49,8070,東京産業株式会社,卸売業,上場,43.88,13.9,9586150.0,8307005,0.8666,345.0,402.0,0.8582,,8296166,卸売業・小売業,tag,2026-03-31,S100YEID
216,259,43,1950,日本電設工業株式会社,建設業,上場,42.8,16.7,8954499.0,8306028,0.9276,2582.0,4645.0,0.5559,,7735171,建設業,tag,2026-03-31,S100YGLL
217,190,-27,4887,サワイグループホールディングス株式会社,医薬品,上場,43.7,8.8,9377000.0,8302730,0.8854,110.0,3630.0,0.0303,本社のみ,8109155,製造業,tag,2026-03-31,S100YITS
218,197,-21,5803,株式会社フジクラ,非鉄金属,上場,43.4,15.4,9348000.0,8302441,0.8882,2333.0,50586.0,0.0461,本社のみ,8077039,製造業,tag,2026-03-31,S100YGP3
219,194,-25,8103,明和産業株式会社,卸売業,上場,42.5,16.0,9355000.0,8278578,0.8849,198.0,596.0,0.3322,,8086673,卸売業・小売業,tag,2026-03-31,S100YF48
220,235,15,4182,三菱瓦斯化学株式会社,化学,上場,41.0,17.5,9076743.0,8267643,0.9109,2562.0,8319.0,0.308,,7939195,製造業,tag,2026-03-31,S100YEUU
221,159,-62,7741,ＨＯＹＡ株式会社,精密機器,上場,47.6,18.7,9704451.0,8263073,0.8515,3313.0,37752.0,0.0878,本社のみ,8634984,製造業,tag,2026-03-31,S100Y90T
222,146,-76,6523,ＰＨＣホールディングス株式会社,電気機器,上場,49.0,17.5,9834195.0,8257759,0.8397,145.0,8647.0,0.0168,本社のみ,8783426,製造業,tag,2026-03-31,S100YHPK
223,158,-65,8425,みずほリース株式会社,その他金融業,上場,44.6,14.0,9718677.0,8254686,0.8494,838.0,2434.0,0.3443,,8447509,金融業・保険業,tag,2026-03-31,S100YESP
224,233,9,5401,日本製鉄株式会社,鉄鋼,上場,41.3,19.5,9086300.0,8249403,0.9079,32102.0,138453.0,0.2319,,7920167,製造業,tag,2026-03-31,S100YF8E
225,223,-2,6013,株式会社タクマ,機械,上場,42.2,14.3,9171677.0,8247028,0.8992,1117.0,4504.0,0.248,,7938070,製造業,tag,2026-03-31,S100YB3J
226,200,-26,7267,本田技研工業株式会社,輸送用機器,上場,43.9,21.0,9326000.0,8240772,0.8836,32547.0,195109.0,0.1668,,8071765,製造業,tag,2026-03-31,S100YDD9
227,184,-43,8157,都築電気株式会社,卸売業,上場,43.2,17.9,9404000.0,8233393,0.8755,1161.0,2040.0,0.5691,,8122899,卸売業・小売業,tag,2026-03-31,S100YE5P
228,232,4,7012,川崎重工業株式会社,輸送用機器,上場,41.7,15.3,9101888.0,8227840,0.904,15361.0,41652.0,0.3688,,7903901,製造業,tag,2026-03-31,S100Y99Z
229,227,-2,9962,株式会社　ミスミグループ本社,卸売業,上場,41.4,7.5,9138707.0,8225708,0.9001,327.0,11304.0,0.0289,本社のみ,7957623,卸売業・小売業,tag,2026-03-31,S100YB3N
230,231,1,4540,株式会社ツムラ,医薬品,上場,41.9,15.5,9114000.0,8221023,0.902,2858.0,4923.0,0.5805,,7902421,製造業,tag,2026-03-31,S100YFC1
231,214,-17,6762,ＴＤＫ株式会社,電気機器,上場,43.0,16.9,9211552.0,8214853,0.8918,6573.0,106545.0,0.0617,本社のみ,7956007,製造業,tag,2026-03-31,S100YD2Y
232,274,42,9517,イーレックス株式会社,電気・ガス業,上場,38.9,4.9,8857104.0,8206207,0.9265,185.0,302.0,0.6126,,8036426,電気・ガス業,tag,2026-03-31,S100YKV1
233,251,18,4063,信越化学工業株式会社,化学,上場,40.8,18.8,8988000.0,8204676,0.9128,4059.0,27342.0,0.1485,,7881933,製造業,tag,2026-03-31,S100YE9I
234,207,-27,6742,株式会社京三製作所,電気機器,上場,44.0,17.0,9286320.0,8197370,0.8827,1399.0,2073.0,0.6749,,8041331,製造業,tag,2026-03-31,S100YH1N
235,170,-65,3036,アルコニックス株式会社,卸売業,上場,44.4,10.7,9533000.0,8196821,0.8598,225.0,3098.0,0.0726,本社のみ,8274493,卸売業・小売業,tag,2026-03-31,S100YCV6
236,202,-34,6417,株式会社三共,機械,上場,44.4,18.8,9319000.0,8192914,0.8792,760.0,895.0,0.8492,,8088745,製造業,tag,2026-03-31,S100YI30
237,243,6,3635,株式会社コーエーテクモホールディングス,情報・通信業,上場,38.8,9.8,9035323.0,8182588,0.9056,121.0,2835.0,0.0427,本社のみ,8215970,情報通信業,tag,2026-03-31,S100YEES
238,237,-1,2158,株式会社ＦＲＯＮＴＥＯ,サービス業,上場,43.8,4.1,9064814.0,8181513,0.9026,170.0,272.0,0.625,,7842253,サービス業,tag,2026-03-31,S100YGJA
239,234,-5,4914,高砂香料工業株式会社,化学,上場,42.1,18.1,9082540.0,8175341,0.9001,1087.0,4443.0,0.2447,,7865166,製造業,tag,2026-03-31,S100YGT4
240,206,-34,6960,フクダ電子株式会社,電気機器,上場,44.4,15.1,9290565.0,8167915,0.8792,786.0,3497.0,0.2248,,8064063,製造業,tag,2026-03-31,S100YLF7
241,211,-30,7701,株式会社　島津製作所,精密機器,上場,43.9,18.5,9240736.0,8165430,0.8836,3779.0,14649.0,0.258,,7997968,製造業,tag,2026-03-31,S100YGJF
242,280,38,2181,パーソルホールディングス株式会社,サービス業,上場,40.9,6.3,8818492.0,8162270,0.9256,761.0,74926.0,0.0102,本社のみ,7723076,サービス業,tag,2026-03-31,S100YGCS
243,354,111,2121,株式会社ＭＩＸＩ,サービス業,上場,38.1,6.2,8470000.0,8161081,0.9635,1316.0,2116.0,0.6219,,7825706,サービス業,tag,2026-03-31,S100YE1D
244,199,-45,,株式会社三井住友銀行,銀行業,非上場,41.2,17.5,9338000.0,8159570,0.8738,28030.0,71100.0,0.3942,,8148461,金融業・保険業,textblock,2026-03-31,S100YEQG
245,245,0,6301,株式会社小松製作所,機械,上場,41.7,17.1,9024576.0,8157952,0.904,12435.0,67279.0,0.1848,,7836764,製造業,tag,2026-03-31,S100YD25
246,293,47,9024,株式会社西武ホールディングス,陸運業,上場,40.7,15.5,8715652.0,8155923,0.9358,386.0,21557.0,0.0179,本社のみ,7653622,運輸業,tag,2026-03-31,S100YEFI
